‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.075
qty_x,11
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,3000
vec_length,24







0.0,-1.466173218971868e-05,0.0002071437095904653,2.9799767910246022e-05,0.0010342401405515535,0.00016632211725658245,0.010606525079819048,0.0004081040028576814,0.011363435363859278,0.0006617448031190683,0.007970985961790139,0.0008000156502645232,0.004138401000703061,0.0008749892047250181,0.0024332823665203303,0.0009503570201796732,0.004989190057080828,0.0010177465141017296,0.002745787130959267,0.001118275373196522,0.005092038299099511,0.0012258106490270551,0.00491244875848813,0.0014173810326059202,0.010753844022724076
0.0,1.9989292307619507e-05,6.569464794592197e-05,6.167798278742392e-05,0.004182748773196985,0.00019140818644943768,0.010262119364907195,0.0004312219400825,0.008258911378285399,0.0006385516108841725,0.008602108435851972,0.0008151436269310066,0.006040491160135387,0.0009019771697187835,0.0029693751570516818,0.0009691720126745575,0.0026908359090213937,0.0010117606077904087,0.004355686990325708,0.0011021553262297716,0.0035282533907455625,0.001268835644446238,0.010797784343971445,0.0014987730448279804,0.00913299568812709
0.0,2.137487840150069e-05,0.00010570373792447905,7.820045114311884e-05,0.006679168512764025,0.0002735183598992806,0.007971944698254445,0.00042730474707468655,0.004018073997469465,0.0006023150530232214,0.009414232344880225,0.0008013805895676106,0.009461046850029313,0.000927918128440206,0.002585603197974434,0.000985125571479256,0.001823317332494294,0.0009940966709777873,0.0015891057524134518,0.0011348188797658467,0.008331825867671134,0.0013366145773874385,0.009007963625329626,0.0014910375889161537,0.005406014689844877
0.0,1.1661314889734585e-05,0.0004799068684186495,0.00011663360311307922,0.003433251696776452,0.00026998283502767525,0.009537940298418502,0.00043119021866473576,0.0067317739959284984,0.0006231228940092769,0.00864503328924599,0.0007640882825253718,0.004625395990775753,0.0008828335352130094,0.004761536270798205,0.000978805778981336,0.0034752121828205314,0.0010756935086997596,0.006244701512157263,0.0011923432270149077,0.005745231815884473,0.0013255210675844902,0.008301683025153788,0.001567383344202211,0.010832868220843716
0.0,-8.69085596117957e-06,0.00021813922752214891,4.995213263772357e-05,0.003602595956250071,0.00024807601957807306,0.010202652184988663,0.00046433064564025084,0.009026086633040853,0.0006269717481104495,0.0054295901258619985,0.0007113073171198964,0.002741481402084552,0.0008337089437488108,0.0068151357465344575,0.0009929545677894156,0.006944634662531017,0.001117371042646364,0.006475004183160997,0.0012752045665394597,0.00457658233293995,0.0013704968785632422,0.006515149968922475,0.001503788328383449,0.004732289523225924
0.0,2.974484210692901e-06,5.4251424875989784e-05,5.646658926611211e-05,0.005945038776833219,0.00023567724912047582,0.008833953837259921,0.0004217659283574985,0.006616772101150579,0.0005874309195045922,0.006111672100463702,0.0007127686569628955,0.005683775186188243,0.0008069670086511629,0.0050874726553449025,0.0009879881771413057,0.009810829090216971,0.001157737328818803,0.007599552996690751,0.0013445148938111182,0.005799458630102108,0.001427512334871596,0.0023875360053234066,0.0014416645987027053,-0.00040452325489738396
0.0,2.1462053847707294e-05,0.0003081410601433423,0.00011583032171149142,0.004460112354170702,0.000196856088649365,0.008222787153757766,0.0003621821252450571,0.003648906251152662,0.0005169846309071614,0.007455217510056604,0.000696881270797747,0.007686152545580734,0.0008305549455527146,0.005542543347867745,0.001001199331194701,0.008507421789851768,0.0012062449739331223,0.0101275308775591,0.0013667225806212016,0.005002480121573326,0.0014453590441529363,0.0020030597529460785,0.0015100231891707427,0.003355660602211985
0.0,-4.97263582217522e-06,0.00011087765957964114,3.6472290371781286e-05,0.0035016952082793564,0.00017915112329154945,0.006417403830914646,0.0003208708784506606,0.0051351543825659315,0.00044772046675272347,0.006857735357508183,0.0006332566951846629,0.010681187493160337,0.0008690712116781658,0.009205018336783099,0.0010859429528204385,0.00993911856281794,0.00120725932724575,0.0036462363076530174,0.0013497347916835466,0.006202085943005189,0.0014785971439171125,0.005830375356335493,0.001596038382054564,0.0046639351165255905
0.0,-1.4938143674560005e-05,0.000208396234676348,2.922316091761871e-05,0.0010298384585572438,0.00011382829497551055,0.0041477921506930665,0.00022497761772241186,0.007846174722520713,0.00041650182221870133,0.008993142699711538,0.0006292560102969387,0.008909761026096098,0.0008725009498386872,0.011336552427658622,0.0011142493760995468,0.008099065281651762,0.0012420242885084534,0.005895335090408066,0.0013485982440657105,0.003641868050714913,0.0014900918495252952,0.0108054598801555,0.001706692941158883,0.00748783024198007
0.0,-8.077491293575028e-07,0.00013788650082519763,1.4778633662594877e-05,-0.0009819012503310325,3.7678484704435606e-05,0.003960986914719273,0.0001454141742218097,0.006677651395161327,0.0003862876547494789,0.011234130835081462,0.0006394204179892682,0.012884769845506822,0.0009029226684417299,0.009042774924901393,0.0010663590432120318,0.006535774889229456,0.0012388775694859217,0.008394227000390608,0.0014107735568327313,0.007343501994806775,0.0015466602172618071,0.0065320930179269005,0.0017188567329873559,0.007526955884471573
0.0,-5.910744276845045e-06,-0.0002470059621111882,-4.528790622989643e-05,0.00041811096122234935,-1.1648370594316261e-05,0.0035679111484849986,0.00011940608909329108,0.005489950675177738,0.0003607363497861006,0.012845775095751967,0.0006308820548269428,0.012691765536241443,0.0008711713169033275,0.00818302532694216,0.0010566342643308882,0.009542973156999743,0.00124437393030177,0.007636696430258035,0.0014486585350419745,0.008541525764669029,0.00163026787059634,0.006077279228587394,0.0016824337988064393,0.0004877371806578315
0.0,8.618724298358447e-07,-8.410718489377892e-05,-2.6605634183243504e-05,-0.0017768430783113866,-3.063334029048837e-05,0.004050085159436035,0.0001183656178483222,0.008903740552712591,0.00034620603281753596,0.009249768982924844,0.0005809274593259479,0.0103769938079839,0.0008032287745699807,0.009555170106283643,0.0010660238416788355,0.012745959944632778,0.0013095686415417107,0.010699373647632224,0.0014584133299798963,0.004149146232025828,0.0016371014726455275,0.009670693578452736,0.001812240800407563,0.006443024186859174
0.0,-2.0924047966276453e-05,0.00018104349772612665,-2.382389466324301e-07,-0.0014711877043353577,4.068273410319039e-05,0.003477431540320033,0.00013879049205332172,0.006271710939112832,0.00028785354798759727,0.006276671985277317,0.0004937179724841565,0.013067259592073782,0.0008050763086685209,0.011993435576904684,0.0010646531784291704,0.012336240372797673,0.0012966077313700023,0.00836406924382574,0.0015013718904020401,0.008903877235174053,0.0016855504121246025,0.007676009274041563,0.0018785615238971394,0.009080054790577373
